battle,win,player_wr,allies_wr,enemies_wr
315,1,0.564281981,0.549429796,0.459786053
316,0,0.564281981,0.499760971,0.464025238
318,1,0.564281981,0.489598978,0.508337356
334,1,0.532153429,0.480164551,0.491873039
339,0,0.456777778,0.520175919,0.505684597
342,1,0.522990871,0.478278717,0.461435433
344,1,0.522990871,0.502085592,0.499165716
346,0,0.522990871,0.496328395,0.478497899
360,1,0.665019385,0.509561438,0.53162347
361,1,0.665019385,0.530448111,0.52904202
368,1,0.69889065,0.506342075,0.495096296
370,1,0.69889065,0.488082537,0.419723202
391,1,0.605479452,0.513018925,0.503186412
392,1,0.605479452,0.500130833,0.497226865
393,0,0.605479452,0.509546106,0.533255944
394,0,0.605479452,0.536007554,0.504646775
395,1,0.605479452,0.485234737,0.505062939
397,0,0.605479452,0.526735916,0.544815322
399,1,0.605479452,0.520527732,0.535632252
401,1,0.605479452,0.515362492,0.488154374
404,1,0.605479452,0.477236611,0.468758207
405,1,0.605479452,0.523272242,0.517140941
406,1,0.605479452,0.482408651,0.50237021
407,1,0.605479452,0.514431855,0.494907701
409,0,0.605479452,0.482721492,0.528241384
411,0,0.605479452,0.543177024,0.51184964
412,1,0.605479452,0.537881338,0.497513664
414,1,0.605479452,0.516424777,0.4730322
415,0,0.605479452,0.513932049,0.52322166
416,1,0.605479452,0.599141698,0.518605561
418,0,0.605479452,0.528568556,0.510714584
419,1,0.605479452,0.464576715,0.494791967
420,1,0.605479452,0.555795187,0.493392774
421,1,0.605479452,0.55669011,0.478637355
422,0,0.605479452,0.498256041,0.525840662
423,1,0.605479452,0.503050623,0.516964999
424,1,0.605479452,0.538111764,0.487847542
426,1,0.605479452,0.520796324,0.510819523
428,1,0.605479452,0.512976694,0.528175233
429,1,0.605479452,0.560182013,0.541004444
430,0,0.605479452,0.515012346,0.505581435
432,0,0.605479452,0.497329196,0.513468266
433,0,0.605479452,0.464545294,0.477411235
434,1,0.605479452,0.518620053,0.489912166
435,1,0.605479452,0.526945814,0.541705759
436,0,0.603360393,0.47856146,0.494386724
437,1,0.605479452,0.514108468,0.503436532
438,0,0.603360393,0.493808014,0.48282362
439,1,0.605479452,0.528132324,0.547297008
441,1,0.605479452,0.551218479,0.50066337
442,0,0.603360393,0.508576222,0.490887486
444,1,0.605479452,0.539997298,0.487158095
445,0,0.603360393,0.512351464,0.493362014
446,0,0.605479452,0.478934598,0.520777075
447,0,0.603360393,0.464245194,0.471711051
448,1,0.605479452,0.499811805,0.538316397
449,1,0.603360393,0.470250966,0.501788362
450,0,0.605479452,0.495189979,0.510624018
451,0,0.605479452,0.479621517,0.519181849
452,0,0.603360393,0.541943499,0.562666307
453,1,0.605479452,0.526819651,0.459145616
454,1,0.605479452,0.480718911,0.56493477
458,1,0.456777778,0.470786163,0.469742815
480,1,0.69889065,0.489705936,0.491238975
481,1,0.69889065,0.468290203,0.491883572
487,1,0.620577591,0.503696207,0.489002768
493,1,0.597746967,0.508522109,0.474522666
506,1,0.605479452,0.526071942,0.504994453
507,1,0.605479452,0.498613088,0.579281629
508,0,0.605479452,0.501786636,0.553840324
510,1,0.605479452,0.518414501,0.498245424
512,1,0.603666804,0.52031956,0.508675866
515,1,0.605479452,0.487565158,0.489790031
516,1,0.605479452,0.54702522,0.532314137
517,1,0.605479452,0.514670337,0.532761795
518,0,0.605479452,0.499249392,0.520259475
519,1,0.605479452,0.584341603,0.555500401
520,1,0.605479452,0.490475013,0.513042477
531,1,0.603666804,0.492555551,0.496184749
535,1,0.665019385,0.502540322,0.548141858
555,0,0.588371443,0.468620898,0.475123465
556,0,0.588371443,0.510304908,0.537982722
557,0,0.588371443,0.486439184,0.480155698
559,0,0.588371443,0.496817146,0.495550157
560,1,0.588371443,0.480985859,0.517060693
578,1,0.665019385,0.502036317,0.456098321
593,1,0.464615201,0.489932348,0.50181319
596,0,0.522990871,0.490247174,0.517321973
597,1,0.522990871,0.505626672,0.468137408
599,0,0.522990871,0.463901188,0.480870139
600,0,0.522990871,0.48876659,0.495469453
602,1,0.522990871,0.519464041,0.462136255
604,1,0.522990871,0.494185693,0.472387802
607,0,0.514803899,0.499403616,0.46228381
610,0,0.532153429,0.477831183,0.502213607
611,0,0.532153429,0.53018997,0.490300025
621,1,0.456777778,0.542079391,0.482157286
630,1,0.620577591,0.483328511,0.489435246
637,1,0.522990871,0.492074693,0.490610722
638,1,0.522990871,0.4762905,0.4809346
640,0,0.522990871,0.551932921,0.546386907
642,1,0.522990871,0.509999386,0.490464488
643,1,0.522990871,0.479798032,0.45186288
644,0,0.522990871,0.469751744,0.479794048
645,1,0.522990871,0.473283394,0.490988721
646,0,0.522990871,0.50044764,0.472133724
647,0,0.522990871,0.490619597,0.50706938
648,0,0.522990871,0.483602618,0.518305227
649,0,0.522990871,0.488664349,0.609733946
650,1,0.522990871,0.555904868,0.501092025
680,1,0.603666804,0.50794892,0.488230315
687,1,0.603666804,0.545061997,0.489644399
688,1,0.603666804,0.493607206,0.507125235
689,1,0.522990871,0.518785826,0.50502977
691,1,0.522990871,0.504787051,0.473115808
694,0,0.522990871,0.495926693,0.481594409
695,1,0.522990871,0.479131981,0.489678372
696,1,0.464615201,0.462369958,0.488647047
699,1,0.456777778,0.502674696,0.493590832
700,0,0.456777778,0.453803804,0.489874008
710,1,0.522990871,0.547028622,0.527266553
712,1,0.588371443,0.469154109,0.482684027
727,1,0.665019385,0.489223634,0.503735731
729,1,0.665019385,0.521417536,0.558327823
731,0,0.603666804,0.518576734,0.53835855
739,1,0.69889065,0.467748762,0.520530386
744,0,0.665019385,0.465473517,0.537607325
747,1,0.620577591,0.480916014,0.51293537
749,1,0.620577591,0.475660018,0.461465732
758,1,0.69889065,0.517834138,0.491629921
760,0,0.564281981,0.507261126,0.524389658
761,0,0.564281981,0.456139591,0.501533239
762,0,0.564281981,0.490648343,0.489391329
763,1,0.564281981,0.599413072,0.485669429
764,1,0.564281981,0.517421027,0.481206571
765,1,0.564281981,0.471271486,0.50070055
769,1,0.514803899,0.50842896,0.530096706
783,1,0.464615201,0.529753075,0.467606984
795,0,0.69889065,0.481626453,0.585182127
805,1,0.665019385,0.482937,0.477455636
823,1,0.464615201,0.499250973,0.553463016
828,1,0.620577591,0.519973902,0.53402053
830,1,0.69889065,0.495556469,0.490173471
831,0,0.69889065,0.481421267,0.499027196
834,1,0.69889065,0.468398549,0.492891335
837,1,0.620577591,0.513691893,0.534794292
838,1,0.620577591,0.47602265,0.516119931
848,0,0.522990871,0.464378058,0.517922768
849,1,0.522990871,0.545443351,0.474506737
850,1,0.522990871,0.530515348,0.481172908
851,1,0.522990871,0.520366301,0.495957613
853,1,0.665019385,0.513037622,0.510106327
855,0,0.522990871,0.505672933,0.531996152
856,1,0.522990871,0.512076676,0.469259963
858,1,0.69889065,0.503937514,0.487673403
859,1,0.69889065,0.477671574,0.507414123
864,1,0.464615201,0.510518762,0.478423871
868,1,0.69889065,0.472493944,0.459828677
875,0,0.522990871,0.444783199,0.457441179
